GENE,COEFFICIENT
CYP4B1,1.3249670789240033
CRYM,1.3073782594093226
DLG5,1.280757994741896
GFRA1,1.2560145910706504
TRPM2,1.2547919127052567
C12orf76,1.241579521339723
AGR3,1.203263374464107
TCEAL7,1.1918954331282434
EXO1,1.1714899746714726
ANXA8,-1.1541555623370385
AQP7,1.149072589056637
LPIN1,-1.1165820201781897
TSPAN1,1.085094163789244
KIF18A,-1.0555816903786885
KPNA2,1.0029788123204315
NEK2,-0.9893373767382105
KLK6,-0.971813481199362
MZT1,0.9574183696819065
PCSK4,0.934338779872097
NUDT8,0.9206393523567477
PRR11,0.9111632771108257
CENPW,-0.902651184057636
CELSR1,-0.8764211359371367
DBF4,0.8192635909901967
MARVELD2,0.8106560395168717
ELOVL6,0.8099164143496822
ENPP1,-0.8090553943569586
LCMT2,0.775426252181658
PIWIL4,0.7647776980505523
FBLIM1,-0.7433022235915563
ANKMY2,0.7431254692586823
KCNK5,0.676005967928896
ADCY9,-0.6709731522664703
CDCA2,-0.6676334003881701
SKA2,-0.6464990898986351
NUP155,-0.6376787878948841
UBTD1,-0.6248683125283107
C1orf112,-0.6207546196882098
EPN3,-0.5987125777464061
ABAT,-0.5829946281461508
OGN,0.5094727216774546
KNTC1,0.507359400041794
FBXO5,0.5006709564856653
TP63,-0.49645805033750695
CH25H,-0.49559786984355814
MAP3K12,0.4737677953094449
CEACAM5,0.46176176581699957
SLC43A3,0.4498465355262992
TTC39A,-0.404781371786169
CAV1,-0.39379798386530374
ACACB,0.3860465591971686
S100A2,0.3249859073707703
MTBP,0.3186345528460368
MMP28,0.3171570996462658
INPP5J,-0.28775915973143895
SLC19A2,0.26600434897312575
DYNLRB2,0.258615004100176
CDK1,-0.2506099904627788
HMMR,-0.24439751328392018
PRELP,-0.1451867467644242
NDC80,-0.1175289267438594
SREBF2,0.10339607289150507
TONSL,-0.07935992007125207
ITPR1,0.06173148212392474
PPP1R14C,-0.05753015099032295
