GENE,COEFFICIENT
AGR3,-3.1208275302026864
OVGP1,-3.097833024576269
BIRC5,-3.0706368033901636
ANXA9,3.05236910764266
TSPAN15,-3.002192588903719
CHRD,2.9833647950643187
SOSTDC1,2.9680730186485347
ASPM,-2.9655472599488975
KIAA1324L,-2.96416205648396
AKR1E2,-2.9612351322966908
RCC2,-2.947109378675756
CCT5,2.9411735632006097
H2AFZ,2.93362620175327
KCNK15,-2.9289462311999728
CFB,2.891931692594063
FBXO36,2.884044576338942
CACNA1D,2.8813252754425682
MCM2,-2.8598933364966874
DSCC1,-2.848159055092472
DZIP1,2.8455119334980887
FGD3,-2.8330755375107284
FAM171A1,-2.8322505169413663
TCEAL1,2.795495041473545
ACOX2,2.791883383648452
LRIG1,-2.782483797882009
GAMT,-2.7785941197557347
PRR11,-2.7779392391485427
TONSL,-2.7710343950879026
C2orf40,2.7562977441663143
LEMD1,2.7458146420174003
TRIM2,-2.7413501456324068
FAM72D,2.7326735200848358
ABHD6,-2.7159901900911887
CENPA,2.682184478124867
RALGPS2,-2.6748475355458114
TOMM40,2.663569867068597
MAP3K12,2.6448899286901417
ZNF462,2.6183856631139006
E2F1,2.6169374438285935
SLC39A6,2.6157207862789384
PADI2,-2.605007130016676
C20orf96,-2.5897068986795655
DMXL1,2.5857557677183207
CHEK2,-2.5843449102616436
BBOX1,2.5842204927055423
SMC2,-2.5735142975131784
NUDCD1,-2.571209188475075
EME1,-2.5638280543207603
SCN4B,-2.557351360285325
ZNF703,-2.52480337127569
CCDC24,-2.524575119848684
RASSF4,2.5239202831914285
KIF18B,2.5087161761017067
TTC39A,-2.4989287565833496
PDSS1,2.4972771835189236
KLK8,2.485940923636013
AR,2.462687984992844
SLC22A5,-2.4440743659648385
KIF18A,2.442892713845026
CX3CR1,2.440734863843241
TRPM2,-2.4336153745066347
LMNB1,-2.411917895403244
CMBL,-2.40456362823871
C9orf152,-2.3832206837186143
HMMR,-2.3355704508764954
HLTF,2.32484781002587
ERRFI1,-2.313278451899853
PAIP2,2.301804395542177
ATP6V1C2,-2.301362739060285
GREB1,-2.2993619687539035
CCNB2,-2.2861983424292887
ACACB,-2.2683140263809185
DNALI1,-2.2644527424529732
PPP1R14C,2.258852930492328
RASA4,-2.256502070339219
APP,-2.2435102568944716
HSPB6,-2.2382035099252
CLSTN2,-2.2276130985568194
MARVELD2,-2.221298772243162
PAX9,2.2172090771796764
SPDEF,-2.1867851236812204
