GENE,COEFFICIENT
HLA-DPA1,-8.867087965501836
RCC2,-8.8654910307045
MNX1,8.856779115383743
TPRN,-8.807860964277102
SLC27A1,8.79883314935693
CA12,-8.734671605874158
ADAMTSL5,8.710582247801572
CCNA2,8.693616418710969
LASP1,-8.66530640989689
B3GNT5,-8.588773617834828
ESF1,-8.578793414335475
IGF1R,8.540598024034443
GADD45B,8.526008921866651
SCCPDH,8.480120309701416
TROAP,8.427092951618187
NEIL1,8.407702675586169
PAIP2,-8.357334211250057
FOXC1,8.337781151256468
AKR1E2,-8.239031243725515
KIF11,8.089456353982369
FCGR3B,8.061187165344199
PHYHD1,-7.952651213204571
SUSD3,-7.869253343296631
PRKX,-7.799379708465774
FAM83D,7.799331589712584
PPIL1,-7.796576593494632
MLPH,-7.696985027950521
KRT5,-7.678496245255127
LRIG1,-7.615001088919251
ASAP2,7.595880131411019
RTN4RL1,-7.576078922342809
CNTNAP3B,7.465732211988491
TPI1,-7.405947626279266
TPCN1,-7.3746909752831185
SLC22A5,7.284818786064476
BCAS4,-7.276572478436941
TRIM29,7.172873477929375
AURKA,7.148119526327346
ME1,7.127130667456787
PMAIP1,-7.113792220475709
CENPA,-7.063318171050287
ORC1,7.0433130315138195
CHEK1,6.994063011389412
EME1,6.983306853403732
PM20D2,-6.939183546748145
ARHGAP11B,6.907544825450678
ALDH3B2,6.906286127304109
CDC25B,6.904578179638174
SELP,-6.882190697720014
OSR1,6.879346821903544
SOX13,6.875435729623506
MAD2L1,6.822207098527432
ZNF703,-6.79422254322176
WDR66,6.791404046126404
IL34,-6.755084127745664
E2F8,-6.723627085768687
CDC45,6.706903359400436
DACT3,6.695368785203695
FBXO15,6.674612245332733
FADS1,6.67095707752773
WDR76,6.618742644916544
AR,-6.605451041788196
FAM89A,6.562337384239233
WDR86,-6.558379984300952
C9orf116,-6.543663587335918
TMCC2,6.537027121490736
MYB,6.513183364629208
ZNF883,6.498453967587782
MAGEE1,6.49832651399785
HES6,-6.46884376838674
ANGPTL4,-6.457078860515048
HEY1,-6.418057233215633
TOMM40,6.399085111744303
KCNJ11,-6.356627572799883
ZNF462,-6.1694331353746446
KIF18B,-6.168339443450405
KRT17,6.14665022953757
KIF3A,6.136521481847035
MCM10,6.1069277274743365
KNTC1,-6.049324758466238
ABLIM3,6.013145387871593
LRRC56,5.972364261151122
IGF2R,-5.950132769611221
LYPD6,5.946900112382287
CXXC5,5.861176833065474
FBLIM1,-5.859386273276846
CXCL1,5.837612663765955
PPP1R14A,5.837351747744591
L3MBTL4,5.836526408461488
TRPV6,-5.80199020978177
TOP2A,-5.768559179238532
EXOC6,5.747941065440112
SEL1L3,5.7124412183495545
CMBL,5.692485966201592
TFDP1,5.689254234282816
BLM,5.6018744174813415
SMC2,-5.583610384531968
CHST2,5.580062577567261
IQGAP3,-5.576683867740896
INPP5J,-5.500165484031863
CDCA8,-5.466214503692703
ERGIC2,5.388936878570075
NRN1,-5.344693074106381
CHEK2,5.301748132900669
AZIN1,-5.262495132024707
CENPH,5.22519068908249
ASPM,5.213699244362036
NOSTRIN,5.198502396309906
EPB41L5,5.174089885187193
KLK6,-5.1640926617208605
ELOVL5,5.134298275488498
AFF3,-5.134021796707093
OIP5,-5.118513508590387
SLC7A5,-5.103908148719041
ERBB2,-5.09768838730489
CDCA3,5.074161810376565
GINS1,5.044491399360283
TPX2,5.02477160180246
TTYH1,-5.00742915911406
CHST3,4.953773149233588
GPD1L,-4.952175457493784
RAD51,4.927502117276444
CDKN3,-4.920120370242444
LRRC32,-4.9134701997957855
LIMA1,-4.90898255448555
ECE2,4.895265247494313
TYMS,-4.870098497937024
POLQ,4.865725866626492
SPAG5,-4.844174714801966
IL17RD,4.822313145190451
PCSK4,4.789341917260325
PADI2,4.77373608466301
ADAMTS15,4.756875013331251
MAGED2,-4.747056924565463
UCK2,-4.733214102176506
RPS4X,-4.7268269123840865
DHRS2,-4.699580242830091
ZDHHC3,4.686518598555621
TIMELESS,4.641756503896985
TP53INP2,4.631844675881921
ESR1,4.5695291146552215
CBLC,4.550671936509276
TLCD1,4.517124532809747
F3,-4.507862659265461
PSMD12,4.50313843874772
PRRT2,-4.489261650181207
ERRFI1,4.4642115409940715
TRIM2,-4.451669033202608
RTN4R,-4.410739505412677
CCDC103,4.410135415534899
NCOA7,-4.396211131591166
KIF18A,-4.383285597781381
ZNF516,4.3720191952395835
GABRP,-4.342236397272457
TCEAL1,-4.30884757563865
CENPE,4.2645668977418065
KIF20A,4.244603577356088
FERMT1,4.2029941030799405
ANXA9,4.147546731506072
DLGAP5,4.138039062888591
GSTP1,4.098625629841424
NUDCD1,4.095444301742838
S100A2,4.028658100402097
FOXA1,4.00351486524493
ANXA8,4.000543392953148
CYP4B1,-3.936818568241702
RIN3,-3.916188464839232
KIF2C,-3.9012881956156007
PAK1IP1,3.897559887424924
TMX1,-3.879317592560928
ZNF367,-3.8655193396243197
DYNLRB2,3.857018605022732
HMMR,3.840222394045445
PRR15,-3.8388197814204825
PRRT3,-3.8209485691412817
ELOVL6,3.80400576950514
KIF14,3.7582936014668986
MCM4,-3.6907507019757393
PLK4,3.6784070637515054
TRIM3,3.6525267566435207
